City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,2.86,91,49,6.71,CL,1726367935
1,port-aux-francais,-49.35,70.2167,0.47,64,91,14.96,TF,1726367937
2,bahia honda,22.9036,-83.1592,27.43,83,44,1.72,CU,1726367938
3,kinmparana,12.8402,-4.9199,23.89,89,37,1.28,ML,1726367939
4,grytviken,-54.2811,-36.5092,-2.1,77,21,4.88,GS,1726367940
5,blackmans bay,-43.0167,147.3167,11.4,58,61,1.79,AU,1726367941
6,yemva,62.59,50.8594,16.27,81,100,1.14,RU,1726367942
7,yellowknife,62.456,-114.3525,14.29,83,75,3.6,CA,1726367943
8,kuta,-8.7233,115.1723,27.97,78,40,3.6,ID,1726367945
9,codrington,-38.2667,141.9667,11.95,56,44,6.17,AU,1726367946
10,voru,57.8339,27.0194,14.23,70,95,1.56,EE,1726367947
11,kokopo,-4.352,152.2633,27.74,81,33,2.26,PG,1726367948
12,stephenville,32.2207,-98.2023,29.07,67,0,0.0,US,1726367949
13,edinburgh of the seven seas,-37.0676,-12.3116,12.58,78,43,6.59,SH,1726367950
14,nogliki,51.8333,143.1667,17.62,49,10,4.54,RU,1726367951
15,waynesville,35.4887,-82.9887,18.4,87,55,0.45,US,1726367953
16,mount gambier,-37.8333,140.7667,12.57,51,6,4.71,AU,1726367784
17,huai'an,33.5886,119.0192,22.68,88,100,6.27,CN,1726367955
18,portland,45.5234,-122.6762,18.01,90,75,4.63,US,1726367693
19,mil'kovo,55.6078,37.7956,15.75,52,72,2.69,RU,1726367957
20,kununurra,-15.7667,128.7333,32.99,13,8,6.17,AU,1726367958
21,broome,42.2506,-75.833,19.14,77,27,1.25,US,1726367959
22,thompson,55.7435,-97.8558,14.09,94,75,4.63,CA,1726367960
23,bethel,41.3712,-73.414,20.31,91,0,0.0,US,1726367961
24,bilibino,68.0546,166.4372,7.32,71,100,0.29,RU,1726367963
